date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,1.131047545
1967,0.559184361
1968,6.95086335
1969,-3.379536189
1970,8.609850116
1971,-5.450033957
1972,-0.786046235
1973,6.338053039
1974,-3.47682321
1975,0.514557029
1976,3.83958216
1977,16.10520845
1978,-1.273895662
1979,17.13263341
1980,-6.487142819
1981,12.95809577
1982,1.738137031
1983,-18.10934207
1984,25.79970104
1985,-13.70922316
1986,19.15439338
1987,-6.559142285
1988,-2.186420884
1989,18.00882996
1990,-4.545095202
1991,-1.649879094
1992,3.615705391
1993,0.775669497
1994,10.95323997
1995,-3.201722536
1996,4.454508792
1997,-10.31985833
1998,-7.963218883
1999,13.62416231
2000,-1.265532935
2001,-5.69195976
2002,4.69940074
2003,-4.312430952
2004,5.173602391
2005,0.852643427
2006,4.995078173
2007,-4.898292631
2008,-1.159482608
2009,-8.090669448
2010,-2.648348546
2011,6.047834894
2012,6.742613367
2013,1.876412407
2014,1.71e-06
2015,2.921566834
2016,-10.90779631
2017,10.78524796
2018,3.683993874
2019,4.522657032
2020,3.118428588
2021,0.79226025
2022,4.101966332
2023,nan
