date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,4.232455529
1992,4.071320316
1993,-7.607350999
1994,-0.793201435
1995,-1.644142806
1996,-3.836148406
1997,2.515211891
1998,15.89498854
1999,14.29547983
2000,8.275243005
2001,0.855324154
2002,22.83422257
2003,-4.120272811
2004,-11.01819668
2005,9.702401229
2006,-1.626076479
2007,-11.93355719
2008,26.52444085
2009,-7.142335726
2010,-16.37313481
2011,27.35067472
2012,-16.25933013
2013,-1.459283491
2014,41.11022923
2015,-13.64921994
2016,-10.55236442
2017,4.824676286
2018,-10.1986969
2019,16.75885706
2020,-9.297502627
2021,-6.78202092
2022,1.120649238
2023,nan
