date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,13.80198271
1988,-5.684127131
1989,5.341614901
1990,3.390330186
1991,3.564299976
1992,3.943560395
1993,4.221257081
1994,4.355546179
1995,3.053843928
1996,4.316931947
1997,6.478148891
1998,4.630891408
1999,6.6052558
2000,2.946603478
2001,5.926133925
2002,4.211069129
2003,3.526260513
2004,3.207243929
2005,1.339775365
2006,2.999629752
2007,1.658177256
2008,4.310235508
2009,-6.586099789
2010,19.14761447
2011,6.369150388
2012,4.716278746
2013,6.44273564
2014,3.320736705
2015,7.603999741
2016,4.828723953
2017,18.49793079
2018,5.634074757
2019,16.13095298
2020,0.086442386
2021,8.301885617
2022,4.700000002
2023,nan
