date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,9.58268264
1969,2.468271353
1970,6.262897558
1971,-0.064764031
1972,0.194423209
1973,9.184995117
1974,5.864936101
1975,12.42305032
1976,5.624688565
1977,-2.497645066
1978,0.531661905
1979,14.56730429
1980,-3.953001381
1981,-20.30758348
1982,16.93530886
1983,29.6544534
1984,-2.151584187
1985,-8.732769407
1986,-2.518628405
1987,-2.758160775
1988,-1.799158247
1989,3.962504255
1990,-2.172129717
1991,1.131125889
1992,-2.775475858
1993,-4.686836014
1994,6.168980328
1995,-2.638579163
1996,-2.464889488
1997,10.20443456
1998,-2.961951651
1999,30.08788562
2000,7.496529479
2001,8.633169252
2002,-18.08316033
2003,19.46186593
2004,6.688587239
2005,-2.881219284
2006,-16.68220279
2007,-4.198552382
2008,30.97319673
2009,14.9185909
2010,11.80756191
2011,-27.73785322
2012,6.506852629
2013,-2.606282645
2014,-12.38462031
2015,3.950152716
2016,-0.234563413
2017,-4.379155461
2018,3.691249889
2019,-0.112002111
2020,10.5907786
2021,4.682536855
2022,6.075975417
2023,nan
