date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,nan
2005,nan
2006,nan
2007,6.642522635
2008,-21.12911914
2009,-8.650205639
2010,18.49817148
2011,11.64376046
2012,8.140549174
2013,7.805449381
2014,7.180379798
2015,11.75060725
2016,5.423433286
2017,-2.744926912
2018,-2.450023909
2019,-8.628065555
2020,-2.064025033
2021,7.975818356
2022,7.473851293
2023,nan
