date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,0.293881913
2002,-2.637187001
2003,-5.307797538
2004,0.404507368
2005,-0.230215827
2006,-3.316988751
2007,-4.355608592
2008,-16.96818465
2009,-4.545454545
2010,3.856749311
2011,0.83364911
2012,-3.231867719
2013,4.893203883
2014,-6.034801925
2015,-6.816390859
2016,-1.945031712
2017,-5.174644243
2018,-1.81900864
2019,-0.787401575
2020,3.828197946
2021,-2.517985612
2022,-6.042435424
2023,nan
