date,val
1960,nan
1961,6.527141343
1962,4.752502523
1963,3.637061643
1964,6.222932769
1965,15.76986197
1966,8.120035592
1967,3.891155964
1968,7.215824643
1969,-3.908636031
1970,-4.410833817
1971,9.042553412
1972,1.951219788
1973,5.741626301
1974,-8.93665096
1975,-6.708074612
1976,11.18508558
1977,5.988023697
1978,31.74080494
1979,7.193992466
1980,2.454568523
1981,-1.534862194
1982,-2.597908798
1983,-0.541348375
1984,1.297670371
1985,2.3351876
1986,0.870164448
1987,6.77152214
1988,-0.813973366
1989,3.489722864
1990,1.714137644
1991,-2.396504706
1992,8.600233096
1993,-1.619137098
1994,-2.071689544
1995,6.738970037
1996,5.939227592
1997,-1.553113193
1998,4.178352835
1999,-17.79159777
2000,19.03182428
2001,2.120830588
2002,4.503002427
2003,2.349179957
2004,7.221439151
2005,-2.293856497
2006,7.577891166
2007,5.541688527
2008,1.926649728
2009,-1.94786961
2010,1.773539593
2011,6.484274339
2012,10.68279385
2013,3.440072043
2014,2.814648645
2015,2.630863813
2016,4.774568382
2017,10.34974051
2018,2.632688216
2019,-1.034211777
2020,-6.257699585
2021,0.437475817
2022,-0.715307086
2023,nan
