date,val
1960,nan
1961,1.663498096
1962,3.272557269
1963,-3.712086918
1964,9.826046078
1965,-3.553082193
1966,4.793608521
1967,-1.694197374
1968,9.952606635
1969,1.920062695
1970,4.075355634
1971,3.80495013
1972,2.135231317
1973,5.574912891
1974,3.726937268
1975,0.007114905
1976,4.713289699
1977,1.277304075
1978,5.148760606
1979,3.853515376
1980,5.200270303
1981,4.922771468
1982,2.123278142
1983,4.790451794
1984,4.210034507
1985,4.253319361
1986,2.586010363
1987,2.143531777
1988,4.896284025
1989,3.319081537
1990,2.003394502
1991,1.369599541
1992,6.894025973
1993,1.419165755
1994,0.555938091
1995,4.375016866
1996,3.13903809
1997,1.002854555
1998,-1.331515373
1999,2.162884474
2000,1.88281042
2001,3.255984486
2002,3.448992034
2003,3.78812116
2004,2.818909319
2005,2.718078229
2006,3.356326982
2007,3.470427907
2008,4.828490221
2009,3.957815902
2010,3.005673173
2011,3.946953504
2012,4.586513577
2013,4.204289865
2014,4.238678629
2015,3.754749446
2016,3.372729664
2017,3.915932501
2018,3.884157966
2019,3.606501572
2020,1.771988773
2021,1.871156456
2022,2.254850106
2023,nan
