date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,8.473734872
1992,2.000378706
1993,-0.454092862
1994,1.456476119
1995,1.717652108
1996,1.364119446
1997,2.122531438
1998,2.729799608
1999,5.724340712
2000,-0.488786162
2001,-3.387626489
2002,-4.459679426
2003,-3.680752529
2004,11.80366212
2005,-4.870110951
2006,-0.614393218
2007,0.484753232
2008,1.839186918
2009,-1.512956801
2010,0.740579927
2011,2.30678407
2012,-1.89756811
2013,0.998285284
2014,-2.268780242
2015,4.742471453
2016,-0.056454208
2017,-3.763495933
2018,1.853304868
2019,-1.583102427
2020,-4.603925852
2021,-0.746100148
2022,-2.09651734
2023,nan
