date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,7.142857143
1978,24.31372549
1979,-5.173501577
1980,0.99061137
1981,-5.28511822
1982,18.12350259
1983,-2.806856844
1984,-6.267250084
1985,4.129560471
1986,2.200151735
1987,21.39964908
1988,15.49836011
1989,-27.51600327
1990,39.93359894
1991,5.537625945
1992,30.3673385
1993,-22.69012001
1994,-13.94093318
1995,1.617341908
1996,3.504567341
1997,-8.477090307
1998,12.98330738
1999,-29.31699511
2000,5.380975662
2001,1.766052846
2002,24.93084988
2003,11.75197931
2004,11.19167834
2005,0.271374473
2006,13.07156903
2007,1.228929676
2008,43.55759762
2009,12.83046433
2010,6.912858783
2011,3.940007379
2012,-9.351360307
2013,-3.538930978
2014,7.55082578
2015,4.962183021
2016,3.849854025
2017,2.524986816
2018,1.994106486
2019,1.093418391
2020,1.189153174
2021,6.595875193
2022,3.30315741
2023,nan
