date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,nan
2005,nan
2006,nan
2007,-10.39416661
2008,4.053431598
2009,3.615168954
2010,7.626032469
2011,5.603704929
2012,37.39506328
2013,5.54010305
2014,6.026959302
2015,-13.86251579
2016,-24.16386773
2017,-15.8131121
2018,4.319798459
2019,20.22160665
2020,-30.10752688
2021,31.37785292
2022,9.998713164
2023,nan
