date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,2.393671639
1992,3.680814079
1993,3.858320351
1994,-3.233529559
1995,3.196308024
1996,6.125506983
1997,5.110671612
1998,3.958310945
1999,1.893798789
2000,-0.998455452
2001,4.320742827
2002,1.325930776
2003,4.704137108
2004,0.868606165
2005,6.21206064
2006,5.17606123
2007,3.136550762
2008,4.908621277
2009,4.065281028
2010,3.817942759
2011,0.981435361
2012,4.545018195
2013,3.066901481
2014,4.006480494
2015,2.053280768
2016,3.484096619
2017,3.483729026
2018,2.239646219
2019,2.861275699
2020,1.229055215
2021,1.832648799
2022,3.003207673
2023,nan
