date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,0.419415709
1967,9.805081233
1968,2.751949316
1969,4.613763608
1970,5.539791131
1971,-0.652706129
1972,-1.483276663
1973,4.765363061
1974,0.37968012
1975,7.359434084
1976,-0.483057671
1977,5.767233129
1978,2.869546393
1979,-6.078431592
1980,8.239560443
1981,3.881768044
1982,1.553137557
1983,5.541122492
1984,1.194509534
1985,3.560946203
1986,2.348729762
1987,-0.525885691
1988,9.36915203
1989,2.506263479
1990,3.893833372
1991,0.354302109
1992,3.64209233
1993,2.039176524
1994,2.993168991
1995,0.778141512
1996,7.557943766
1997,-0.50960618
1998,4.855132976
1999,2.585667489
2000,1.850601373
2001,4.49764319
2002,1.703484366
2003,6.795776103
2004,2.689704492
2005,5.057698633
2006,4.162143887
2007,4.446947414
2008,1.053184866
2009,2.485492512
2010,5.330579666
2011,4.874047962
2012,2.911607899
2013,4.60848095
2014,2.310857129
2015,2.224651553
2016,3.879631057
2017,4.670697652
2018,2.523362855
2019,4.090072299
2020,2.929240022
2021,2.861031252
2022,2.599895309
2023,nan
