date,val
1960,nan
1961,1.599247592
1962,2.244750526
1963,5.213845361
1964,9.099312972
1965,1.691552765
1966,3.29951812
1967,4.711034682
1968,1.180684349
1969,2.802853496
1970,5.625723622
1971,1.906218051
1972,-0.212276708
1973,5.187500727
1974,3.105459117
1975,3.697424499
1976,0.943843854
1977,2.398562757
1978,1.724187829
1979,0.071636015
1980,3.094977935
1981,5.313667979
1982,4.865941858
1983,4.661351227
1984,5.434932325
1985,2.421662413
1986,2.570062052
1987,2.533564897
1988,5.226462517
1989,2.78812611
1990,3.989185674
1991,0.942545886
1992,3.511668671
1993,0.893975679
1994,2.257504204
1995,2.305351146
1996,5.351226823
1997,1.505791483
1998,2.897286784
1999,2.910180996
2000,2.139854515
2001,3.447486511
2002,2.59805195
2003,4.069631434
2004,3.595577309
2005,4.732856866
2006,4.290419869
2007,3.177650758
2008,3.10430276
2009,2.288915474
2010,4.463991889
2011,4.528342773
2012,2.773156987
2013,4.324800507
2014,2.874465511
2015,2.760893622
2016,2.798132058
2017,4.405956974
2018,2.737496968
2019,3.473375053
2020,2.65089671
2021,3.885131174
2022,2.943245115
2023,nan
