date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,-1.490667207
1997,-13.25240358
1998,14.59290165
1999,14.5470625
2000,-13.47416664
2001,-16.49319152
2002,35.56606401
2003,-40.92588012
2004,13.83575935
2005,-21.16547588
2006,4.565476991
2007,7.287743341
2008,-15.53172891
2009,1.101606509
2010,14.94490074
2011,-23.23375224
2012,18.05289204
2013,-17.22809937
2014,14.14306776
2015,1.599469919
2016,-0.423497944
2017,-6.896809013
2018,12.32302185
2019,-7.413132923
2020,-8.154807775
2021,7.256726269
2022,1.285528031
2023,nan
