date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,1.891247229
1967,5.039532778
1968,4.954105574
1969,0.2912927
1970,3.771757863
1971,3.496780541
1972,6.549297947
1973,-2.395529257
1974,5.456395974
1975,0.432107044
1976,10.86444157
1977,-2.528562629
1978,3.249620639
1979,3.380770798
1980,3.817137818
1981,-0.648638083
1982,6.868624163
1983,1.157171064
1984,5.681311147
1985,8.313085178
1986,4.81108055
1987,-0.800393338
1988,4.337754936
1989,4.675525203
1990,6.760776227
1991,3.649979753
1992,4.451140708
1993,-0.466781883
1994,7.652120462
1995,-2.384507546
1996,6.639392216
1997,-1.878255654
1998,10.57973691
1999,-2.066725536
2000,-1.682138177
2001,3.741708001
2002,6.90382916
2003,2.26078326
2004,3.001886967
2005,6.023512653
2006,7.151338768
2007,-4.074756641
2008,-5.710948346
2009,8.887057656
2010,3.04197136
2011,6.097017412
2012,2.796041816
2013,5.972748952
2014,0.463712278
2015,-0.619038739
2016,1.039779289
2017,3.106905948
2018,2.636535912
2019,6.630637348
2020,2.292515894
2021,-0.673124851
2022,0.559626942
2023,nan
