date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,12.75167829
1983,2.15773865
1984,-2.622000261
1985,8.825732058
1986,4.536078462
1987,-12.88625358
1988,2.339616768
1989,7.700000708
1990,16.95481076
1991,-9.877773935
1992,-2.14304923
1993,-0.830133157
1994,1.852617681
1995,0.240308306
1996,2.111041167
1997,4.435227361
1998,5.160779381
1999,2.862901339
2000,-16.3296814
2001,-19.15028029
2002,-10.99180125
2003,4.784110466
2004,16.22866814
2005,11.2752668
2006,6.531094769
2007,14.44130849
2008,4.672606778
2009,3.633376163
2010,-16.59741019
2011,-0.316572608
2012,21.05126724
2013,19.17771859
2014,13.68093554
2015,10.71762363
2016,5.400178738
2017,-0.291574013
2018,6.508301949
2019,5.24969125
2020,5.825692401
2021,-5.532513923
2022,12.01318392
2023,nan
