date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,0.0
1978,0.106609876
1979,4.046858901
1980,-34.18628442
1981,21.92845912
1982,19.38775521
1983,-13.00653604
1984,0.75131573
1985,11.26025278
1986,10.72386072
1987,-3.700000072
1988,-4.828289737
1989,-7.359771557
1990,9.60277762
1991,-1.58206845
1992,6.252095838
1993,-5.875061573
1994,-5.777197944
1995,7.461370155
1996,5.691111601
1997,3.634480345
1998,-0.765612842
1999,-25.4937523
2000,33.22202244
2001,8.480541249
2002,-17.53255703
2003,3.070440945
2004,9.484577398
2005,-4.192775519
2006,0.935271681
2007,-2.236891537
2008,2.683146845
2009,10.20087828
2010,-0.375124298
2011,3.488544448
2012,1.106523768
2013,0.498135808
2014,3.666599557
2015,0.246717753
2016,3.674964322
2017,-0.145873571
2018,-1.289013775
2019,4.215122724
2020,-1.912573981
2021,7.268225342
2022,5.527129172
2023,nan
