date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,3.938431339
1992,4.002460946
1993,1.720496886
1994,1.349327174
1995,-0.964871649
1996,8.631539097
1997,-0.766903667
1998,28.55914106
1999,1.216478162
2000,-8.02924399
2001,12.70663127
2002,7.337972142
2003,5.206485899
2004,-7.735153249
2005,13.40385117
2006,10.37804211
2007,4.630444571
2008,15.93036347
2009,-9.363727766
2010,15.32601005
2011,-2.856875421
2012,14.67032481
2013,-0.368189217
2014,8.283113089
2015,2.001947505
2016,17.24621931
2017,5.421260179
2018,7.897486011
2019,3.385958257
2020,7.73737436
2021,-5.108051142
2022,27.00518381
2023,nan
