date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,10.60395881
1971,12.27410672
1972,3.976729363
1973,6.103953365
1974,13.19336461
1975,14.05084883
1976,11.65115506
1977,1.893399574
1978,8.0665861
1979,11.81281453
1980,4.769241018
1981,9.014751092
1982,4.22688541
1983,-2.923721976
1984,11.22806493
1985,4.088176042
1986,10.4063288
1987,-1.172619061
1988,7.843140525
1989,5.77112836
1990,8.920334932
1991,2.501569872
1992,3.618384712
1993,2.830186728
1994,2.559927617
1995,1.943561695
1996,-4.643204945
1997,7.20047875
1998,-4.656255083
1999,6.754609198
2000,1.074504586
2001,-5.033689625
2002,0.867537675
2003,2.746829413
2004,5.55713349
2005,0.293586481
2006,0.3517289
2007,2.531869334
2008,2.550889696
2009,3.515401196
2010,0.216383909
2011,-0.906057214
2012,-0.662186994
2013,0.86748112
2014,4.590805361
2015,2.072978834
2016,2.227265087
2017,0.471511963
2018,-1.292254314
2019,1.721974474
2020,0.842109106
2021,1.287585247
2022,-2.930488508
2023,nan
