date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,-5.424338696
1979,13.16402536
1980,12.24986251
1981,-0.266578725
1982,3.925814472
1983,-6.333386787
1984,4.376178475
1985,18.46432429
1986,-1.84593706
1987,10.20927595
1988,-2.835515408
1989,-5.41397112
1990,17.4089072
1991,0.582640091
1992,-12.40099498
1993,17.01754893
1994,0.219117081
1995,7.157655086
1996,8.827317276
1997,0.384845864
1998,-4.354664332
1999,4.789313721
2000,3.628872881
2001,-1.845544764
2002,-0.578532889
2003,11.22102556
2004,-3.078130131
2005,5.200175226
2006,0.470369765
2007,-14.71740109
2008,9.072764257
2009,2.251098256
2010,-7.947017452
2011,12.44409824
2012,5.006056282
2013,-0.872787845
2014,5.041946857
2015,2.22995068
2016,0.479583078
2017,-3.849114965
2018,6.973576981
2019,-2.065716606
2020,4.784101284
2021,-0.539712486
2022,nan
2023,nan
