date,val
1960,nan
1961,6.829665675
1962,4.48223214
1963,7.197723728
1964,-0.064312983
1965,7.658954761
1966,3.776032811
1967,2.161737232
1968,6.741267232
1969,3.741713956
1970,0.094840611
1971,3.941363031
1972,5.447415247
1973,7.462155808
1974,-3.852850209
1975,1.349963262
1976,10.28720196
1977,4.329256664
1978,3.574995504
1979,2.982716223
1980,3.904265669
1981,3.710396036
1982,0.412952903
1983,-3.929982389
1984,-0.486493479
1985,-1.744815326
1986,3.653463876
1987,3.077906582
1988,2.950740349
1989,2.724448175
1990,0.192925479
1991,1.469897202
1992,0.351745589
1993,2.10728758
1994,2.475727107
1995,0.564798713
1996,3.650853275
1997,2.941282013
1998,-6.971938196
1999,9.649841904
2000,3.384403631
2001,3.863935124
2002,3.608042528
2003,4.574748658
2004,4.989111481
2005,3.496912642
2006,4.581535201
2007,5.37001634
2008,3.390064292
2009,-0.144697337
2010,1.323730271
2011,3.384078267
2012,3.079948779
2013,2.933106417
2014,1.87301397
2015,0.736118963
2016,-0.963001329
2017,4.24914474
2018,1.117653566
2019,1.204950183
2020,-0.194218864
2021,-0.290979081
2022,0.466930673
2023,nan
