date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,6.598362683
1983,-2.297916581
1984,-1.08761236
1985,5.61825917
1986,6.827605884
1987,1.611244937
1988,2.295182006
1989,9.564996576
1990,-1.345755341
1991,0.866131505
1992,4.322888799
1993,3.455049331
1994,0.592007339
1995,6.275554326
1996,6.809484741
1997,3.941348346
1998,4.470588502
1999,5.070724581
2000,-1.80672302
2001,3.979580286
2002,17.00330647
2003,3.792264108
2004,2.056529542
2005,7.348381154
2006,5.544603883
2007,1.555143122
2008,3.840775605
2009,3.92258119
2010,5.232784869
2011,2.040188371
2012,3.123839694
2013,3.482523659
2014,4.327524319
2015,1.484649008
2016,3.577008574
2017,3.087393191
2018,3.038135711
2019,3.928500914
2020,3.217560859
2021,1.051216532
2022,1.97416174
2023,nan
