date,val
1960,nan
1961,nan
1962,nan
1963,3.884769435
1964,2.279235305
1965,7.569612346
1966,-2.358698632
1967,5.084718896
1968,-0.820939556
1969,2.356733489
1970,1.85341978
1971,6.765498121
1972,4.85917057
1973,6.559127422
1974,9.669138777
1975,9.738202665
1976,3.854442352
1977,5.557507966
1978,4.476946316
1979,7.118075908
1980,8.135019413
1981,10.60059582
1982,0.630423512
1983,-2.319283826
1984,6.370973506
1985,5.230368479
1986,-5.068060217
1987,10.06858376
1988,12.91305289
1989,10.08076018
1990,1.919105648
1991,-1.137756033
1992,4.506930636
1993,6.846112332
1994,2.701619216
1995,13.31581855
1996,-0.922437524
1997,7.387682215
1998,1.481259711
1999,0.884764561
2000,-7.098879691
2001,11.59545628
2002,4.584699102
2003,9.549825655
2004,4.769549068
2005,0.060638839
2006,4.705657433
2007,15.5981095
2008,9.893265213
2009,-11.68000819
2010,41.76695541
2011,5.676427297
2012,-29.78398423
2013,43.5346949
2014,7.179939334
2015,-1.440827134
2016,2.696169956
2017,4.935437945
2018,2.199268297
2019,-3.385884265
2020,7.442416601
2021,-12.27663357
2022,-8.744713191
2023,nan
