date,val
1960,nan
1961,0.523933774
1962,-0.57139076
1963,2.256832372
1964,8.418263617
1965,-8.555440914
1966,-0.625772449
1967,11.89610908
1968,2.009035305
1969,5.640906799
1970,7.163852611
1971,-2.186832048
1972,-4.177728788
1973,5.760289313
1974,-0.093958123
1975,9.328162029
1976,-3.555553309
1977,7.979217724
1978,2.705752767
1979,-9.669399734
1980,10.61382684
1981,4.510945576
1982,0.57309306
1983,8.714059048
1984,0.99155884
1985,1.812149401
1986,0.772018068
1987,-0.857648466
1988,12.389477
1989,1.922911783
1990,4.240331073
1991,-0.639176349
1992,6.575535163
1993,1.918640876
1994,4.585019386
1995,0.428844837
1996,9.524646013
1997,-1.633950272
1998,5.784429118
1999,2.643701223
2000,1.402485041
2001,4.691453165
2002,-4.776211868
2003,7.616569001
2004,0.723418783
2005,5.153407341
2006,2.863788405
2007,5.208978845
2008,0.237707543
2009,0.522608148
2010,6.936095853
2011,5.530850029
2012,2.086796658
2013,4.876429747
2014,0.58268217
2015,1.007376895
2016,5.283507624
2017,5.616902932
2018,2.440041871
2019,5.230068921
2020,3.974719312
2021,3.321144079
2022,3.737640994
2023,nan
