date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,-19.35587693
1967,0.680685051
1968,-4.750599514
1969,6.746955883
1970,17.87925206
1971,3.996643149
1972,-5.666481352
1973,3.532543674
1974,11.36451434
1975,4.620931679
1976,11.78499122
1977,9.896116015
1978,-7.618002661
1979,-12.23190284
1980,-5.500827868
1981,17.99375066
1982,17.5189484
1983,-8.873694619
1984,-4.63014458
1985,-12.21779916
1986,16.47993147
1987,9.535681172
1988,-12.49351545
1989,32.83765815
1990,-20.21839385
1991,-1.342859938
1992,24.50484565
1993,1.646866406
1994,-3.705744037
1995,5.999856431
1996,18.96994961
1997,18.24657244
1998,3.297835656
1999,0.333563018
2000,-3.451939829
2001,4.613434835
2002,2.18381113
2003,10.58008086
2004,-7.814225592
2005,4.785494577
2006,9.208046226
2007,-5.367399485
2008,4.960234408
2009,-1.275601766
2010,2.275602184
2011,-2.049735851
2012,-9.049735387
2013,1.590086489
2014,3.556609544
2015,1.224720562
2016,2.880384665
2017,0.871549361
2018,-1.799999126
2019,-1.500001269
2020,-2.500009406
2021,-0.599999973
2022,1.000000489
2023,nan
