date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,5.545995378
2005,-0.45651465
2006,2.915438252
2007,-2.387231721
2008,13.31811618
2009,1.101701883
2010,13.0397658
2011,3.935110248
2012,0.26648209
2013,-4.752864835
2014,6.809204566
2015,3.229965393
2016,3.375402616
2017,3.554509904
2018,0.377636548
2019,0.128463938
2020,-3.809261975
2021,nan
2022,nan
2023,nan
