date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,1.952890743
1967,5.765349771
1968,1.793199767
1969,3.681225823
1970,6.557290072
1971,3.178413597
1972,2.070776303
1973,2.548539805
1974,8.722740895
1975,5.421296157
1976,-8.889903639
1977,3.552533115
1978,13.70447573
1979,1.186118588
1980,-5.361717853
1981,-10.51030968
1982,-7.860845209
1983,2.315593769
1984,3.026915296
1985,-2.003386814
1986,-4.251712883
1987,1.326363775
1988,-1.016628151
1989,-0.560213934
1990,6.534422647
1991,-3.179559145
1992,5.38209391
1993,-3.93082952
1994,-6.056319407
1995,0.230565607
1996,-2.819512781
1997,-3.628487112
1998,-4.768744408
1999,3.089043453
2000,-7.110003551
2001,-6.522343168
2002,-3.721069999
2003,-2.969335549
2004,-0.871158003
2005,1.192570017
2006,2.760743224
2007,7.0646741
2008,-0.185876408
2009,-5.307261942
2010,5.014747074
2011,-4.119848891
2012,4.29687359
2013,-7.209737325
2014,0.908175867
2015,-5.499996228
2016,8.359782438
2017,0.683593023
2018,-2.715807026
2019,0.997008966
2020,-4.343532535
2021,4.024762258
2022,0.59523961
2023,nan
