date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,3.636576548
1983,-2.194990071
1984,-1.982658996
1985,3.587107682
1986,7.895317735
1987,3.420626065
1988,1.716866156
1989,8.641454546
1990,-1.606126497
1991,2.516340977
1992,0.056521761
1993,5.061250832
1994,0.336139926
1995,3.947630486
1996,8.578600721
1997,4.414354372
1998,2.618648935
1999,4.268549328
2000,-0.183227056
2001,4.476144418
2002,13.81075344
2003,4.610164426
2004,2.524293492
2005,6.063344919
2006,5.650871003
2007,3.446620652
2008,5.194368318
2009,3.612824863
2010,4.963747334
2011,2.169203518
2012,3.435241415
2013,3.078575593
2014,4.932423147
2015,3.383015995
2016,3.408334125
2017,4.345125872
2018,2.63036024
2019,2.269884067
2020,3.06608563
2021,3.225988692
2022,3.008452232
2023,nan
