date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,3.215753688
1977,15.97990616
1978,-4.506066207
1979,10.52631664
1980,1.140582195
1981,13.00813008
1982,-2.877697846
1983,-8.888888886
1984,4.065040645
1985,0.781250008
1986,-2.325581401
1987,5.555555558
1988,-0.751879698
1989,-2.27272727
1990,0.775193797
1991,12.42037534
1992,2.266294887
1993,-7.202215541
1994,-4.477613161
1995,-6.562501872
1996,1.337796104
1997,-2.640270769
1998,-6.440664683
1999,4.347817025
2000,5.902776292
2001,11.47541028
2002,-3.823533227
2003,3.669734377
2004,0.884947887
2005,-4.970759157
2006,3.228380846
2007,5.412370229
2008,-9.168709894
2009,31.35936296
2010,2.868849825
2011,4.482073347
2012,10.20019153
2013,-8.996544078
2014,5.323195313
2015,4.241878211
2016,0.054854635
2017,-6.422258772
2018,-8.494731255
2019,-18.81494239
2020,-10.31103288
2021,-7.51817751
2022,-1.614252735
2023,nan
