date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,5.997273793
1997,4.615517248
1998,-0.386456345
1999,-23.84470745
2000,14.64959072
2001,32.49993585
2002,5.749308003
2003,4.686139654
2004,1.010090136
2005,6.111712105
2006,22.49413986
2007,26.34913314
2008,20.00593809
2009,-3.193865356
2010,-22.59267587
2011,17.80926461
2012,-1.45256684
2013,22.63009773
2014,32.96268887
2015,-16.1546515
2016,8.742509116
2017,-6.017423355
2018,13.58786717
2019,-15.64395506
2020,1.791501641
2021,-1.243161415
2022,2.294472619
2023,nan
