date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,6.323009776
1997,5.930980577
1998,-1.724520514
1999,-5.2160595
2000,2.19045036
2001,0.372837228
2002,14.69006466
2003,-26.10199802
2004,27.20378615
2005,-5.476106434
2006,-0.900209504
2007,7.657076676
2008,0.740702612
2009,-8.812604106
2010,2.333210995
2011,5.235023723
2012,-7.251630862
2013,-0.987914734
2014,1.998660005
2015,13.12348715
2016,-1.384512076
2017,-5.031214794
2018,20.97159613
2019,-3.979719985
2020,3.810073001
2021,-9.834397563
2022,-2.557610743
2023,nan
