date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,8.110427309
2002,7.900916096
2003,-2.655091032
2004,-3.073072049
2005,7.771551549
2006,10.68049689
2007,-13.52925557
2008,-6.753197671
2009,12.43904601
2010,-9.75172911
2011,17.21690361
2012,-25.7368705
2013,-8.713336304
2014,-45.7224997
2015,7.750789939
2016,-1.957010233
2017,4.330913573
2018,-14.71144252
2019,5.936438547
2020,2.803339985
2021,-10.21219659
2022,nan
2023,nan
