date,val
1960,nan
1961,1.837487385
1962,4.484293053
1963,8.599843515
1964,10.94172637
1965,7.410321264
1966,7.131907184
1967,1.16666338
1968,0.852367658
1969,1.552771787
1970,6.574044171
1971,2.367098765
1972,-0.030133481
1973,8.61876671
1974,3.663049215
1975,1.712254996
1976,0.559913471
1977,-0.926749768
1978,1.075646651
1979,4.969124012
1980,0.037007533
1981,6.431087924
1982,8.714976586
1983,6.617708276
1984,10.1918551
1985,2.165595443
1986,3.062104089
1987,3.873884275
1988,3.391186946
1989,3.729565353
1990,5.068792273
1991,2.461819183
1992,4.871953204
1993,0.693459471
1994,2.891410119
1995,4.370544648
1996,4.744753536
1997,2.929215964
1998,2.32457803
1999,2.987433749
2000,2.626708221
2001,2.740467516
2002,2.752901426
2003,3.238429248
2004,5.364020686
2005,4.61549106
2006,4.58791346
2007,3.727820748
2008,4.753422635
2009,3.340991993
2010,3.807004923
2011,4.160423623
2012,4.224039816
2013,3.6296162
2014,3.764529365
2015,3.322452868
2016,2.783072028
2017,3.914371704
2018,3.465584492
2019,2.898491478
2020,2.499408167
2021,5.720456494
2022,3.663037514
2023,nan
