date,val
1960,nan
1961,2.159729304
1962,4.234699425
1963,7.780093031
1964,10.15051392
1965,7.32993098
1966,5.961125423
1967,1.915641202
1968,0.38719654
1969,1.725536528
1970,5.543716427
1971,3.251860911
1972,0.666126699
1973,5.526020854
1974,4.368823343
1975,1.799185779
1976,1.264463622
1977,0.383217102
1978,1.416248963
1979,3.86615293
1980,0.658086349
1981,5.845820419
1982,6.658309113
1983,4.511993404
1984,8.474892821
1985,2.44058614
1986,2.28714316
1987,3.877592763
1988,3.455825383
1989,2.366942784
1990,4.674907921
1991,1.181530336
1992,3.256490008
1993,0.103508518
1994,2.002661929
1995,3.142115309
1996,3.944376267
1997,2.232804021
1998,1.684769136
1999,3.26848855
2000,2.772251911
2001,2.68880385
2002,3.115458914
2003,2.623793538
2004,4.667422313
2005,4.410756916
2006,4.166707923
2007,2.769828276
2008,4.360784623
2009,1.951061633
2010,4.102248685
2011,4.566872511
2012,2.796465957
2013,4.327415219
2014,3.502940142
2015,3.227594586
2016,2.058914195
2017,4.307922591
2018,2.988106829
2019,3.136541585
2020,2.608968775
2021,4.712003148
2022,3.090898375
2023,nan
