date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,-11.94160159
1985,12.00297724
1986,-3.410588371
1987,4.175011395
1988,-0.560567761
1989,4.335809404
1990,-4.192244265
1991,3.867811321
1992,11.00709191
1993,-5.720400353
1994,11.57132691
1995,5.605637176
1996,9.168606442
1997,1.546606526
1998,2.611701089
1999,-3.756435775
2000,-2.212139922
2001,-7.584852316
2002,0.825535509
2003,8.660747401
2004,9.597202549
2005,3.070517351
2006,5.26127653
2007,-10.19497839
2008,2.132484919
2009,3.341377572
2010,-1.456195724
2011,13.22101302
2012,-0.783012112
2013,1.981771324
2014,0.268081813
2015,-1.249714068
2016,2.271475392
2017,-10.42900546
2018,5.993638788
2019,2.4661513
2020,-6.055111927
2021,13.97162456
2022,-2.894077968
2023,nan
