date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,9.820273156
1989,-3.456402181
1990,5.817737997
1991,2.217095969
1992,-6.469408204
1993,1.499999981
1994,-3.400000008
1995,2.000000008
1996,-5.699999993
1997,5.799999995
1998,4.100000007
1999,5.500000004
2000,3.158999987
2001,4.137946049
2002,5.997726912
2003,6.804212648
2004,8.334327077
2005,5.852807582
2006,7.110025419
2007,6.455595352
2008,4.716869245
2009,5.822894559
2010,5.663796567
2011,6.078612527
2012,6.962971615
2013,6.439348494
2014,5.983656611
2015,6.10221456
2016,6.168067626
2017,1.151741508
2018,-0.002875893
2019,3.075684061
2020,2.854041513
2021,3.954536895
2022,3.559287741
2023,nan
