date,val
1960,nan
1961,0.627105543
1962,5.180005207
1963,5.563102019
1964,8.033950399
1965,10.62703534
1966,4.02800936
1967,5.87538043
1968,4.365248139
1969,10.33633126
1970,4.500957817
1971,2.602039845
1972,-1.433180891
1973,6.368083693
1974,6.715398127
1975,6.133903129
1976,-3.411505327
1977,7.987881628
1978,3.708887173
1979,2.507595648
1980,1.963517594
1981,-1.740202324
1982,3.013369577
1983,-2.59286931
1984,7.213935792
1985,8.129478514
1986,8.073115149
1987,3.975805436
1988,4.639056584
1989,-5.12473453
1990,-1.750397897
1991,2.464391111
1992,2.02213363
1993,3.025636501
1994,-1.104022299
1995,-0.541597813
1996,1.967029452
1997,-1.758652312
1998,3.496113338
1999,1.870280486
2000,6.548086742
2001,2.037019202
2002,-0.800077361
2003,-1.308909193
2004,4.379338506
2005,9.835189713
2006,1.034371882
2007,2.588220222
2008,3.485358226
2009,1.000007302
2010,0.919748508
2011,-0.819215345
2012,1.980045201
2013,-1.691351706
2014,-4.565482993
2015,nan
2016,nan
2017,nan
2018,nan
2019,nan
2020,nan
2021,nan
2022,nan
2023,nan
