date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,12.67134771
1996,3.162001214
1997,-6.528467962
1998,-6.851679392
1999,-3.107024745
2000,-2.7602333
2001,-3.60229644
2002,-7.647719726
2003,-2.270462707
2004,-7.497502764
2005,12.13814318
2006,-0.087648721
2007,-3.243999743
2008,-1.171230667
2009,-2.752392954
2010,2.495128209
2011,-3.610815551
2012,-9.941334593
2013,2.567656322
2014,7.728788053
2015,-1.542600072
2016,1.95941909
2017,15.98183922
2018,-7.777742384
2019,-6.144891742
2020,-1.419249618
2021,0.896435931
2022,-9.35522295
2023,nan
