date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,-7.512859654
1971,26.89018264
1972,13.02479885
1973,-19.14067408
1974,18.11627027
1975,-5.930638292
1976,11.30430479
1977,-21.28914126
1978,10.1736256
1979,0.0
1980,1.576709882
1981,14.19068234
1982,-7.18446724
1983,-15.69037562
1984,23.07692917
1985,23.79183704
1986,-8.221632816
1987,-4.277499255
1988,3.191882155
1989,3.457064267
1990,12.1350644
1991,1.035132961
1992,-23.19156028
1993,27.12207679
1994,7.313199778
1995,-7.585188342
1996,19.8140402
1997,3.211132089
1998,5.081670729
1999,4.463269879
2000,2.000000024
2001,14.00000053
2002,-24.00000099
2003,-14.99999808
2004,-9.000000546
2005,-5.00000309
2006,-3.999999774
2007,-6.999996052
2008,-39.29999915
2009,22.00893475
2010,6.875226362
2011,1.386036835
2012,7.815401483
2013,-2.726827796
2014,22.97398709
2015,-5.256534716
2016,-3.895121467
2017,10.03536078
2018,18.40694047
2019,-10.40282557
2020,4.149891619
2021,17.47507604
2022,6.152919132
2023,nan
